product_id,name,description,price,vibe_tags
1,Boho Maxi Dress,"Flowy maxi dress with earthy tones, perfect for festival vibes and bohemian aesthetics. Features floral patterns and comfortable cotton fabric.",89.99,"['boho', 'festival', 'flowy', 'earthy']"
2,Urban Leather Jacket,Edgy black leather jacket with silver zippers. Perfect for energetic urban chic style and modern streetwear looks.,249.99,"['urban', 'edgy', 'chic', 'modern']"
3,Cozy Oversized Sweater,Soft oversized knit sweater in warm neutral tones. Ideal for cozy comfort and relaxed casual vibes.,65.99,"['cozy', 'comfort', 'casual', 'relaxed']"
4,Minimalist White Sneakers,Clean minimalist white sneakers with sleek design. Perfect for modern minimalist and casual urban style.,79.99,"['minimalist', 'clean', 'modern', 'casual']"
5,Vintage Denim Jacket,Classic vintage denim jacket with distressed details. Timeless casual style with retro bohemian charm.,119.99,"['vintage', 'casual', 'retro', 'boho']"
6,Elegant Silk Blouse,Luxurious silk blouse in champagne color. Sophisticated elegant style for formal occasions and refined aesthetics.,159.99,"['elegant', 'sophisticated', 'formal', 'luxe']"
7,Streetwear Cargo Pants,Bold olive green cargo pants with multiple pockets. Perfect for streetwear enthusiasts and urban adventurers.,95.99,"['streetwear', 'urban', 'bold', 'adventurous']"
8,Beach Summer Romper,Lightweight floral romper in pastel colors. Breezy beach vibes and carefree summer energy.,55.99,"['beach', 'summer', 'breezy', 'carefree']"
9,Classic Black Blazer,Tailored black blazer with structured shoulders. Perfect for professional business meetings and formal events.,179.99,"['professional', 'formal', 'elegant', 'business']"
10,Casual Linen Pants,Breathable linen pants in beige. Relaxed casual style ideal for warm weather and laid-back occasions.,69.99,"['casual', 'relaxed', 'comfortable', 'breezy']"
11,Sporty Yoga Leggings,High-waisted yoga leggings with moisture-wicking fabric. Perfect for active lifestyle and fitness enthusiasts.,49.99,"['sporty', 'athletic', 'active', 'fitness']"
12,Romantic Floral Midi Dress,Midi-length floral dress with ruffle details. Romantic feminine style perfect for dates and garden parties.,95.99,"['romantic', 'feminine', 'floral', 'sweet']"
13,Edgy Ripped Jeans,Distressed skinny jeans with ripped knees. Edgy rebellious style for bold fashion statements.,89.99,"['edgy', 'rebellious', 'bold', 'urban']"
14,Professional Office Skirt,A-line pencil skirt in navy blue. Professional polished look for corporate environments and business casual.,75.99,"['professional', 'polished', 'corporate', 'classic']"
15,Trendy Oversized Hoodie,Oversized hoodie in charcoal gray with kangaroo pocket. Street-style essential for casual urban comfort.,59.99,"['streetwear', 'casual', 'urban', 'comfortable']"
16,Chic Wrap Dress,Elegant wrap dress with V-neckline. Sophisticated chic style that flatters all body types.,125.99,"['chic', 'elegant', 'sophisticated', 'feminine']"
17,Athletic Running Shorts,Lightweight running shorts with built-in liner. Athletic performance wear for active sports and training.,34.99,"['athletic', 'sporty', 'active', 'performance']"
18,Vintage Band T-Shirt,Retro band t-shirt with vintage concert graphics. Rock-inspired casual style with nostalgic vibes.,45.99,"['vintage', 'retro', 'rock', 'casual']"
19,Luxury Cashmere Cardigan,Premium cashmere cardigan in soft gray. Luxurious layering piece for elegant refined style.,299.99,"['luxe', 'elegant', 'refined', 'premium']"
20,Bohemian Fringe Vest,Bohemian vest with fringe details and earthy tones. Festival-ready piece with free-spirited boho vibes.,105.99,"['boho', 'festival', 'free-spirited', 'earthy']"
